"区名","count","D","Date"
"緑区",2369,"2021年10月25日",2021-10-25
"中央区",4409,"2021年10月25日",2021-10-25
"南区",4139,"2021年10月25日",2021-10-25
"市外",830,"2021年10月25日",2021-10-25
"計",11747,"2021年10月25日",2021-10-25
